quota_definition_sid,order_number,geographical_areas,description,headings,commodities,quota_unit,monetary_unit,validity,suspension_periods,blocking_periods,status,last_allocation_date,initial_volume,balance,fill_rate
20441,51824,['South Africa'],,"['2007 – Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter', '2008 – Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included']","['2007993943', '2007993944', '2008977200']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,1037000,1037000,0.00E+00
20442,51826,['South Africa'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']",['2009119900'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,14/06/2021,364000,348969,0.041293956
20443,51829,['South Africa'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009710000', '2009791100', '2009791900', '2009793000', '2009799100', '2009799800']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,11/01/2021,1392000,1392000,0.00E+00
20444,51830,['South Africa'],,"['2102 – Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading\xa03002); prepared baking powders']",['2102109000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,111000,111000,0.00E+00
20769,51831,['Mexico'],,"[""0407 – Birds' eggs, in shell, fresh, preserved or cooked""]","['0407110000', '0407191900']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,41000,41000,0.00E+00
20770,51831,['Mexico'],,"[""0407 – Birds' eggs, in shell, fresh, preserved or cooked""]","['0407110000', '0407191900']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,20332,20332,0.00E+00
20771,51833,['Mexico'],,['0409 – Natural honey'],['0409000000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Critical,13/09/2021,5500000,4343579,0.210258364
20772,51833,['Mexico'],,['0409 – Natural honey'],['0409000000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,29/06/2021,2727397,1849669,0.321818936
20773,51834,['Mexico'],,"['0803 – Bananas, including plantains, fresh or dried']",['0803901000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,20/09/2021,12000000,10784550.6,0.10128745
20774,51835,['Mexico'],,"['0603 – Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared']","['0603110000', '0603120000', '0603130000', '0603140000', '0603191000']",Kilogram (kg),,"[2021-06-01,2021-11-01)",[],[],Open,,48000,48000,0.00E+00
20775,51837,['Mexico'],,"['0603 – Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared']","['0603150000', '0603192000', '0603197000']",Kilogram (kg),,"[2021-06-01,2021-11-01)",[],[],Open,,54000,54000,0.00E+00
20776,51839,['Mexico'],,"['0603 – Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared']","['0603110000', '0603120000', '0603130000', '0603140000', '0603191000']",Kilogram (kg),,"[2021-11-01,2022-06-01)",[],[],Critical,,48000,34000,0.291666667
21075,51839,['Mexico'],,"['0603 – Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared']","['0603110000', '0603120000', '0603130000', '0603140000', '0603191000']",Kilogram (kg),,"[2021-01-01,2021-06-01)",[],[],Closed,,34000,34000,0.00E+00
20777,51841,['Mexico'],,"['0603 – Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared']","['0603150000', '0603192000', '0603197000']",Kilogram (kg),,"[2021-11-01,2022-06-01)",[],[],Critical,,54000,38000,0.296296296
21076,51841,['Mexico'],,"['0603 – Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared']","['0603150000', '0603192000', '0603197000']",Kilogram (kg),,"[2021-01-01,2021-06-01)",[],[],Closed,,38000,38000,0.00E+00
20778,51843,['Mexico'],,"['0709 – Other vegetables, fresh or chilled']",['0709200000'],Kilogram (kg),,"[2021-03-01,2021-12-01)",[],[],Exhausted,26/03/2021,600000,0,1
20779,51845,['Mexico'],,"['0710 – Vegetables (uncooked or cooked by steaming or boiling in water), frozen']",['0710210000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,68000,68000,0.00E+00
20780,51845,['Mexico'],,"['0710 – Vegetables (uncooked or cooked by steaming or boiling in water), frozen']",['0710210000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,33721,33721,0.00E+00
20781,51849,['Mexico'],,"['0807 – Melons (including watermelons) and papaws (papayas), fresh']",['0807190000'],Kilogram (kg),,"[2021-10-01,2022-06-01)",[],[],Critical,,136000,85000,0.375
21077,51849,['Mexico'],,"['0807 – Melons (including watermelons) and papaws (papayas), fresh']",['0807190000'],Kilogram (kg),,"[2021-01-01,2021-06-01)",[],[],Closed,,85000,85000,0.00E+00
20782,51851,['Mexico'],,"['0811 – Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter']",['0811109000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,136000,136000,0.00E+00
20783,51851,['Mexico'],,"['0811 – Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter']",['0811109000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,67441,67441,0.00E+00
20784,51853,['Mexico'],,['1604 – Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs'],"['1604142100', '1604142800', '1604143100', '1604143800', '1604144100', '1604144800', '1604149000', '1604193900', '1604207000']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,11/01/2021,1702000,1702000,0.00E+00
20785,51853,['Mexico'],,['1604 – Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs'],"['1604142100', '1604142800', '1604143100', '1604143800', '1604144100', '1604144800', '1604149000', '1604193900', '1604207000']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,11/01/2021,817000,817000,0.00E+00
20786,51854,['Mexico'],,['1604 – Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs'],"['1604142600', '1604143600', '1604144600']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,817000,817000,0.00E+00
20787,51855,['Mexico'],,['1703 – Molasses resulting from the extraction or refining of sugar'],['1703100000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,106125000,106125000,0.00E+00
20788,51855,['Mexico'],,['1703 – Molasses resulting from the extraction or refining of sugar'],['1703100000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,52626370,52626370,0.00E+00
20789,51857,['Mexico'],,"['1704 – Sugar confectionery (including white chocolate), not containing cocoa']",['1704100000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,136000,136000,0.00E+00
20790,51857,['Mexico'],,"['1704 – Sugar confectionery (including white chocolate), not containing cocoa']",['1704100000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,67441,67441,0.00E+00
20791,51859,['Mexico'],,"['2005 – Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading\xa02006']",['2005600000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,136000,136000,0.00E+00
20792,51859,['Mexico'],,"['2005 – Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading\xa02006']",['2005600000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,67441,67441,0.00E+00
20793,51861,['Mexico'],,"['2008 – Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included']","['2008975100', '2008977400', '2008979200', '2008979300', '2008979400', '2008979600', '2008979700', '2008979800']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,204000,204000,0.00E+00
20794,51861,['Mexico'],,"['2008 – Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included']","['2008975100', '2008977400', '2008979200', '2008979300', '2008979400', '2008979600', '2008979700', '2008979800']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,101162,101162,0.00E+00
20795,51863,['Mexico'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009111100', '2009111900', '2009119100', '2009120000', '2009191100', '2009191900', '2009199100', '2009199800']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,136000,136000,0.00E+00
20796,51863,['Mexico'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009111100', '2009111900', '2009119100', '2009120000', '2009191100', '2009191900', '2009199100', '2009199800']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,67441,67441,0.00E+00
20797,51865,['Mexico'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009119911', '2009119992', '2009119996']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,4086000,4086000,0.00E+00
20798,51865,['Mexico'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009119911', '2009119992', '2009119996']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,29/06/2021,2026208,2001768,0.01206194
20799,51867,['Mexico'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009419210', '2009419220', '2009419230', '2009419900', '2009491100', '2009491900', '2009493000', '2009499100', '2009499900']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,341000,341000,0.00E+00
20800,51867,['Mexico'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009419210', '2009419220', '2009419230', '2009419900', '2009491100', '2009491900', '2009493000', '2009499100', '2009499900']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,169099,169099,0.00E+00
20801,51875,['Mexico'],,"[""0408 – Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter""]",['0408118000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,136000,136000,0.00E+00
20802,51875,['Mexico'],,"[""0408 – Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter""]",['0408118000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,67441,67441,0.00E+00
20803,51877,['Mexico'],,"[""0408 – Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter""]","['0408198100', '0408198900']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,136000,136000,0.00E+00
20804,51877,['Mexico'],,"[""0408 – Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter""]","['0408198100', '0408198900']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,67441,67441,0.00E+00
20805,51879,['Mexico'],,"[""0408 – Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter""]",['0408918000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,136000,136000,0.00E+00
20806,51879,['Mexico'],,"[""0408 – Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter""]",['0408918000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,67441,67441,0.00E+00
20807,51881,['Mexico'],,"[""0408 – Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter""]",['0408998000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,136000,136000,0.00E+00
20808,51881,['Mexico'],,"[""0408 – Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter""]",['0408998000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,67441,67441,0.00E+00
20809,51883,['Mexico'],,"['3502 – Albumins (including concentrates of two or more whey proteins, containing by weight more than 80|% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives']",['3502119010'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,409000,409000,0.00E+00
20810,51883,['Mexico'],,"['3502 – Albumins (including concentrates of two or more whey proteins, containing by weight more than 80|% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives']",['3502119010'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,202819,202819,0.00E+00
20811,51885,['Mexico'],,"['3502 – Albumins (including concentrates of two or more whey proteins, containing by weight more than 80|% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives']",['3502119090'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,409000,409000,0.00E+00
20812,51885,['Mexico'],,"['3502 – Albumins (including concentrates of two or more whey proteins, containing by weight more than 80|% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives']",['3502119090'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,202819,202819,0.00E+00
21078,51887,['Mexico'],,"['3502 – Albumins (including concentrates of two or more whey proteins, containing by weight more than 80|% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives']",['3502199000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,409000,409000,0.00E+00
21079,51887,['Mexico'],,"['3502 – Albumins (including concentrates of two or more whey proteins, containing by weight more than 80|% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives']",['3502199000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,202819,202819,0.00E+00
20445,51892,['South Africa'],,"['2204 – Wine of fresh grapes, including fortified wines; grape must other than that of heading\xa02009']","['2204219319', '2204219329', '2204219331', '2204219419', '2204219429', '2204219431', '2204219461', '2204219471', '2204219481', '2204219511', '2204219521', '2204219531', '2204219611', '2204219621', '2204219631', '2204219661', '2204219671', '2204219681', '2204219711', '2204219721', '2204219731', '2204219811', '2204219821', '2204219831', '2204219861', '2204219871', '2204219881', '2204229310', '2204229320', '2204229330', '2204229411', '2204229421', '2204229431', '2204229461', '2204229471', '2204229481', '2204229510', '2204229520', '2204229530', '2204229611', '2204229621', '2204229631', '2204229661', '2204229671', '2204229681', '2204229710', '2204229720', '2204229730', '2204229811', '2204229821', '2204229831', '2204229861', '2204229871', '2204229881', '2204299310', '2204299320', '2204299330', '2204299421', '2204299431', '2204299471', '2204299481', '2204299510', '2204299520', '2204299530', '2204299621', '2204299631', '2204299671', '2204299681', '2204299710', '2204299720', '2204299730', '2204299821', '2204299831', '2204299871', '2204299881']",Litre (l),,"[2021-01-01,2022-01-01)",[],[],Critical,21/09/2021,50038030,27838443.21,0.443654292
20446,51893,['South Africa'],,"['2204 – Wine of fresh grapes, including fortified wines; grape must other than that of heading\xa02009']","['2204219319', '2204219329', '2204219331', '2204219419', '2204219429', '2204219431', '2204219461', '2204219471', '2204219481', '2204219511', '2204219521', '2204219531', '2204219611', '2204219621', '2204219631', '2204219661', '2204219671', '2204219681', '2204219711', '2204219721', '2204219731', '2204219811', '2204219821', '2204219831', '2204219861', '2204219871', '2204219881', '2204229310', '2204229320', '2204229330', '2204229411', '2204229421', '2204229431', '2204229461', '2204229471', '2204229481', '2204229510', '2204229520', '2204229530', '2204229611', '2204229621', '2204229631', '2204229661', '2204229671', '2204229681', '2204229710', '2204229720', '2204229730', '2204229811', '2204229821', '2204229831', '2204229861', '2204229871', '2204229881', '2204299310', '2204299320', '2204299330', '2204299421', '2204299431', '2204299471', '2204299481', '2204299510', '2204299520', '2204299530', '2204299621', '2204299631', '2204299671', '2204299681', '2204299710', '2204299720', '2204299730', '2204299821', '2204299831', '2204299871', '2204299881']",Litre (l),,"[2021-01-01,2022-01-01)",[],[],Critical,21/09/2021,21444870,2737736.75,0.872336053
20447,51894,['South Africa'],,"['2207 – Undenatured ethyl alcohol of an alcoholic strength by volume of 80\xa0%\xa0vol or higher; ethyl alcohol and other spirits, denatured, of any strength']",['2207000000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,25448000,25448000,0.00E+00
20306,51921,['Chile'],,"['0203 – Meat of swine, fresh, chilled or frozen', '1601 – Sausages and similar products, of meat, meat offal or blood; food preparations based on these products', '1602 – Other prepared or preserved meat, meat offal or blood']","['0203111000', '0203121100', '0203121900', '0203191100', '0203191300', '0203191500', '0203195500', '0203195900', '0203211000', '0203221100', '0203221900', '0203291100', '0203291300', '0203291500', '0203295500', '0203295900', '1601000000', '1602410000', '1602420000', '1602490000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,1632000,1632000,0.00E+00
20894,51922,['Chile'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204100000', '0204210000', '0204220000', '0204300000', '0204410000', '0204420000', '0204501100', '0204501300', '0204501500', '0204501900', '0204503100', '0204505100', '0204505300', '0204505500', '0204505900', '0204507100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,23/08/2021,1304000,1124422.733,0.137712628
20307,51923,['Chile'],,"['0207 – Meat and edible offal, of the poultry of heading\xa00105, fresh, chilled or frozen', '1602 – Other prepared or preserved meat, meat offal or blood']","['0207110000', '0207120000', '0207131000', '0207132000', '0207133000', '0207134000', '0207135000', '0207136000', '0207137000', '0207139900', '0207141000', '0207142000', '0207143000', '0207144000', '0207145000', '0207146000', '0207147000', '0207149900', '0207240000', '0207250000', '0207261000', '0207262000', '0207263000', '0207264000', '0207265000', '0207266000', '0207267000', '0207268000', '0207269900', '0207271000', '0207272000', '0207273000', '0207274000', '0207275000', '0207276000', '0207277000', '0207278000', '0207279900', '0207412000', '0207413000', '0207418000', '0207423000', '0207428000', '0207441000', '0207442100', '0207445100', '0207446100', '0207447100', '0207451000', '0207452100', '0207455100', '0207456100', '0207457100', '0207547100', '0207557100', '0207601000', '0207605100', '0207606100', '1602320000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,19/04/2021,11283000,11067310,0.01911637
20308,51924,['Chile'],,['0406 – Cheese and curd'],"['0406100000', '0406200000', '0406300000', '0406400000', '0406900100', '0406901300', '0406901500', '0406901700', '0406901800', '0406902100', '0406902300', '0406902500', '0406902900', '0406903200', '0406903500', '0406903700', '0406903900', '0406905000', '0406906100', '0406906300', '0406906900', '0406907300', '0406907400', '0406907500', '0406907600', '0406907800', '0406907900', '0406908100', '0406908200', '0406908400', '0406908500', '0406908600', '0406908900', '0406909200', '0406909300', '0406909900']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,474000,474000,0.00E+00
20309,51925,['Chile'],,"['0703 – Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled']",['0703200000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,17/02/2021,167000,166950,0.000299401
20310,51926,['Chile'],,"['1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground']",['1104000000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,316000,316000,0.00E+00
20311,51927,['Chile'],,"['2003 – Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid']","['2003102000', '2003103000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,158000,158000,0.00E+00
20312,51928,['Chile'],,"['2008 – Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included']",['2008601900'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,316000,316000,0.00E+00
20313,51931,['Chile'],,"['1704 – Sugar confectionery (including white chocolate), not containing cocoa']",['1704000000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,67000,67000,0.00E+00
20314,51932,['Chile'],,['1806 – Chocolate and other food preparations containing cocoa'],"['1806200000', '1806310000', '1806320000', '1806900000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,67000,67000,0.00E+00
20315,51933,['Chile'],,"[""1905 – Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products""]","['1905310000', '1905320000', '1905904500']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,83000,83000,0.00E+00
20316,51934,['Chile'],,"['0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304']","['0302541100', '0302541500', '0302541900', '0302549000', '0302990060']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,833000,833000,0.00E+00
20317,51935,['Chile'],,"['0305 – Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption']","['0305391000', '0305410000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,7000,7000,0.00E+00
20318,51936,['Chile'],,['1604 – Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs'],"['1604142100', '1604142800', '1604143100', '1604143800', '1604144100', '1604144800', '1604193900', '1604207000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,25000,25000,0.00E+00
20319,51944,['Chile'],,"['0203 – Meat of swine, fresh, chilled or frozen', '1601 – Sausages and similar products, of meat, meat offal or blood; food preparations based on these products', '1602 – Other prepared or preserved meat, meat offal or blood']","['0203111000', '0203121100', '0203121900', '0203191100', '0203191300', '0203191500', '0203195500', '0203195900', '0203211000', '0203221100', '0203221900', '0203291100', '0203291300', '0203291500', '0203295500', '0203295900', '1601000000', '1602410000', '1602420000', '1602490000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,22/06/2021,167000,147000,0.119760479
20895,52011,['Argentina'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204100000', '0204210000', '0204220000', '0204300000', '0204410000', '0204420000', '0204501100', '0204501300', '0204501500', '0204501900', '0204503100', '0204505100', '0204505300', '0204505500', '0204505900', '0204507100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,23/08/2021,5994000,5708977.335,0.047551329
20896,52012,['Australia'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204100000', '0204210000', '0204220000', '0204300000', '0204410000', '0204420000', '0204501100', '0204501300', '0204501500', '0204501900', '0204503100', '0204505100', '0204505300', '0204505500', '0204505900', '0204507100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,21/09/2021,15349000,7723285.182,0.496821605
20897,52013,['New Zealand'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204100000', '0204210000', '0204220000', '0204300000', '0204410000', '0204420000', '0204501100', '0204501300', '0204501500', '0204501900', '0204503100', '0204505100', '0204505300', '0204505500', '0204505900', '0204507100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,20/09/2021,114205000,82591313.21,0.27681526
20898,52014,['Uruguay'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204100000', '0204210000', '0204220000', '0204300000', '0204410000', '0204420000', '0204501100', '0204501300', '0204501500', '0204501900', '0204503100', '0204505100', '0204505300', '0204505500', '0204505900', '0204507100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,1041000,1041000,0.00E+00
20899,52016,['ERGA OMNES'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204100000', '0204210000', '0204220000', '0204300000', '0204410000', '0204420000', '0204501100', '0204501300', '0204501500', '0204501900', '0204503100', '0204505100', '0204505300', '0204505500', '0204505900', '0204507100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,19/01/2021,22000,1727.2,0.921490909
20900,52017,['Bosnia and Herzegovina'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204100000', '0204210000', '0204220000', '0204300000', '0204410000', '0204420000', '0204501100', '0204501300', '0204501500', '0204501900', '0204503100', '0204505100', '0204505300', '0204505500', '0204505900', '0204507100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,440000,440000,0.00E+00
20901,52018,['Bosnia and Herzegovina'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204230011', '0204230091', '0204431000', '0204503910', '0204507910']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,440000,440000,0.00E+00
20902,52020,['Bosnia and Herzegovina'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204230019', '0204230099', '0204439000', '0204503990', '0204507990']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,440000,440000,0.00E+00
20903,52021,['North Macedonia'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204100000', '0204210000', '0204220000', '0204300000', '0204410000', '0204420000', '0204501100', '0204501300', '0204501500', '0204501900', '0204503100', '0204505100', '0204505300', '0204505500', '0204505900', '0204507100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,905000,905000,0.00E+00
20904,52022,['North Macedonia'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204230011', '0204230091', '0204431000', '0204503910', '0204507910']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,905000,905000,0.00E+00
20905,52023,['North Macedonia'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204230019', '0204230099', '0204439000', '0204503990', '0204507990']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,905000,905000,0.00E+00
20906,52101,['Argentina'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204230011', '0204230091', '0204431000', '0204503910', '0204507910']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,23/08/2021,5994000,5708977.335,0.047551329
20907,52102,['Argentina'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204230019', '0204230099', '0204439000', '0204503990', '0204507990']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,23/08/2021,5994000,5708977.335,0.047551329
20908,52105,['Australia'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204230011', '0204230091', '0204431000', '0204503910', '0204507910']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,21/09/2021,15349000,7723285.182,0.496821605
20909,52106,['Australia'],,"['0204 – Meat of sheep or goats, fresh, chilled or frozen']","['0204230019', '0204230099', '0204439000', '0204503990', '0204507990']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,21/09/2021,15349000,7723285.182,0.496821605
